STATUS OF PROCUREMENT AND CONTRACT - PANGASINAN IRRIGATION MANAGEMENT OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,
CY 2026 PROJECTS,,,,,,,,,,,,,,,,,,,,,,,,,
"as of March 25, 2026",,,,,,,,,,,,,,,,,,,,,,,,,
No. of Proj.,Name of Project,Municipality,Allocation and ABC,,BID-OUT,For Bidding,Date of Bidding,AWARDED,Date of Award,Contract No.,Contract Amount,Name of Contractor,Remarks,Project Description,,,,,,,,,,,
,,,FY 2026 (Allocation),Approved Budget of the Contract,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PANGASINAN IMO,,,,,,,,,,,,,,,,,,,,,,,,,
General Appropriations Act CY 2026,,,,,,,,,,,,,,,,,,,,,,,,,
12,Repair of National Irrigation Systems,,"165500000.00","123534516.36",0,9,,0,,,0,,,,,,,,,,,,,,
1,AGNO RIS (REPAIR NIS CY 2026),SANTA BARBARA,"9000000.00","8536057.28",,1,16-Mar-26,,,R1-PIMO-26-02-031,,,Bidded,Repair NIS - Construction of Canal Lining and Structures at Lateral L-1 (Sta. 3+025 - 3+410),,,,,,,,,,,
2,AMBAYOAN RIS (REPAIR NIS CY 2026),SANTA MARIA,"22500000.00","21197678.67",,1,25-Mar-26,,,R1-PIMO-26-02-038,,,Bidded,Repair NIS - Construction of Canal Lining and Structures at Lateral H-3 (Sta. 0+000 - 1+500) and Lateral H (Sta. 16+738 - 16+750),,,,,,,,,,,
3,SINOCALAN RIS (REPAIR NIS CY 2026),SANTA BARBARA,"18000000.00","17054642.20",,1,25-Mar-26,,,R1-PIMO-26-02-037,,,Bidded,"Repair NIS - Construction of Canal Lining and Structures at Main Canal # 1 (Sta. 0+864 
1+273)",,,,,,,,,,,
4,AMBAYOAN RIS (REPAIR NIS CY 2026),NATIVIDAD,"18000000.00","17079607.01",,1,16-Mar-26,,,R1-PIMO-26-02-034,,,Bidded,"Repair NIS - Construction of Check Structure and Canal Lining @ Main Canal (Sta. 
14+463.5 - 14+486.5)",,,,,,,,,,,
5,AGNO RIS (REPAIR NIS CY 2026),MAPANDAN,"9000000.00","8516602.39",,1,16-Mar-26,,,R1-PIMO-26-02-030,,,Bidded,Repair NIS - Construction of Canal Lining and Structures at Lateral M (Sta. 4+370 - 5+107),,,,,,,,,,,
6,AGNO RIS (REPAIR NIS CY 2026),MALASIQUI,"9000000.00","8527668.01",,1,16-Mar-26,,,R1-PIMO-26-02-029,,,Bidded,Repair NIS - Construction of Canal Lining and Structures at Lateral L-2 (Sta. 1+785 - 2+534),,,,,,,,,,,
7,SAN FABIAN RIS (REPAIR NIS CY 2026),SAN JACINTO,"13500000.00","12789160.08",,1,25-Mar-26,,,R1-PIMO-26-02-035,,,Bidded,Repair NIS - Construction of Canal Lining and Structures at MCJ (Sta. 1+835 - 2+630),,,,,,,,,,,
8,LOWER AGNO RIS (REPAIR NIS CY 2026),BAUTISTA,"13500000.00","12786756.54",,1,16-Mar-26,,,R1-PIMO-26-02-033,,,Bidded,"Repair NIS - Construction of Canal Lining and Structures at Main Canal Extension (Sta. 
23+106.7 - 24+115)",,,,,,,,,,,
9,SINOCALAN RIS (REPAIR NIS CY 2026),MANGALDAN,"18000000.00","17046344.18",,1,25-Mar-26,,,R1-PIMO-26-02-036,,,Bidded,Repair NIS - Construction of Canal Lining and Structures at Lateral A (Sta. 6+686 - 8+121),,,,,,,,,,,
10,AGNO RIS (REPAIR NIS CY 2026),MALASIQUI,"15000000.00",,,,,,,,,,,"Repair NIS - Construction of Canal Lining and Structures, Malasiqui Lateral L-3, Station 2+657- 4+200, Lat. 15.933812 Long 120.440456",,,,,,,,,,,
11,AGNO RIS (REPAIR NIS CY 2026),MAPANDAN,"15000000.00",,,,,,,,,,,"Repair NIS - Construction of Canal Lining and Structures, Mapandan Lat. 16.010459, Long 120.444511",,,,,,,,,,,
12,AMBAYOAN RIS (REPAIR NIS CY 2026),TAYUG,"5000000.00",,,,,,,,,,,"Repair NIS - Construction/Rehabilitation of Irrigation Canal Lining, Barangay Saleng, Tayug",,,,,,,,,,,
3,Restoration of National Irrigation Systems,,"23500000.00","22263988.34",2,1,,0,,,"9399510.31",,,,,,,,,,,,,,
1,LOWER AGNO RIS (RESTO NIS CY 2026),ROSALES,"5000000.00","4732513.64",1,,29-Dec-25,,,R1-PIMO-26-11-015,"4702284.95",RLK CONSTRUCTION AND BUILDERS,Waiting for the SARO/ASA - For Award,Resto NIS - Construction of Canal Lining @ Main Canal (Sta. 0+044 - 1+842),,,,,,,,,,,
2,LOWER AGNO RIS (RESTO NIS CY 2026),BAUTISTA,"5000000.00","4735849.86",1,,29-Dec-25,,,R1-PIMO-26-11-019,"4697225.36",GLF BUILDERS AND CONSTRUCTION SUPPLY,Waiting for the SARO/ASA - For Award,Resto NIS - Construction of Canal Lining @ Lateral E (Sta. 10+938 - 11+220),,,,,,,,,,,
3,SAN FABIAN RIS (RESTO NIS CY 2026),SAN FABIAN,"13500000.00","12795624.84",,1,16-Mar-26,,,R1-PIMO-26-02-032,,,Bidded,"Resto NIS - Construction of Canal Lining and Structures @ Lateral AF (Sta. 0+390 
0+552.50), Lateral AF-1 (Sta. 0+007.50-0+922.70)",,,,,,,,,,,
